line_number,date,time,home_team,away_team,raw_line,odds_found
3358,2025. június 26,1:15,5.Panama,Honduras Gold Cup 2025. jún. 29. 1:15,"5.Panama - Honduras Gold Cup 2025. jún. 29. 1:15
6.Mexikó - Szaúd-Arábia Gold Cup 2025. jún. 29. 4:15",[]
3359,2025. június 26,22:00,7.Kanada,Guatemala Gold Cup 2025. jún. 29. 22:00,7.Kanada - Guatemala Gold Cup 2025. jún. 29. 22:00,[]
3360,2025. június 26,1:00,8.USA,Costa Rica Gold Cup 2025. jún. 30. 1:00,8.USA - Costa Rica Gold Cup 2025. jún. 30. 1:00,[]
3361,2025. június 26,1:30,9.Orlando,Cincinnati MLS 2025. jún. 29. 1:30,9.Orlando - Cincinnati MLS 2025. jún. 29. 1:30,[]
3362,2025. június 26,1:30,10.Toronto FC,Portland MLS 2025. jún. 29. 1:30,10.Toronto FC - Portland MLS 2025. jún. 29. 1:30,[]
3363,2025. június 26,1:30,11.D.C. United,Nashville MLS 2025. jún. 29. 1:30,11.D.C. United - Nashville MLS 2025. jún. 29. 1:30,[]
3364,2025. június 26,2:30,12.Dallas,San Diego MLS 2025. jún. 29. 2:30,12.Dallas - San Diego MLS 2025. jún. 29. 2:30,[]
3365,2025. június 26,0:00,13.Columbus,Philadelphia MLS 2025. jún. 30. 0:00,13.Columbus - Philadelphia MLS 2025. jún. 30. 0:00,[]
3366,2025. június 26,21:00,14.U21Anglia,U21Németország U21 Eb 2025. jún. 28. 21:00,"+1 mérkőzés
14.U21Anglia - U21Németország U21 Eb 2025. jún. 28. 21:00",[]
3367,2025. június 26,1:30,1.Montreal,New York City FC MLS 2025. jún. 29. 1:30,"Pótmérkőzések
1.Montreal - New York City FC MLS 2025. jún. 29. 1:30",[]
3368,2025. június 26,1:30,2.New England,Colorado Rapids MLS 2025. jún. 29. 1:30,2.New England - Colorado Rapids MLS 2025. jún. 29. 1:30,[]
3369,2025. június 26,1:30,3.New York RB,Minnesota MLS 2025. jún. 29. 1:30,3.New York RB - Minnesota MLS 2025. jún. 29. 1:30,[]
3370,2025. június 26,2:30,4.Kansas City,Salt Lake MLS 2025. jún. 29. 2:30,4.Kansas City - Salt Lake MLS 2025. jún. 29. 2:30,[]
3374,2025. június 30,TBD,"labdarúgás, klubcsapat vb 2025",ki ny,"hosszútávú fogadás (outri
labdarúgás, klubcsapat vb 2025 - ki ny",[]
3389,2025. június 30,TBD,Al,Hilal (KSA) 22,Al-Hilal (KSA) 22,[]
3395,2025. június 30,TBD,"labdarúgás, Bl/El/kl 2025/26",hogyan szerepel az FtC a selejtezőben?,"hosszútávú fogadás (outright)
labdarúgás, Bl/El/kl 2025/26 -
hogyan szerepel az FtC a selejtezőben?
Sorszám: 07240 Kimenetel Odds |  |",[]
3396,2025. június 30,TBD,EL,főtáblára jut,"EL-főtáblára jut
BL-főtáblára jut | 02
01 | 2,10
3,70","['2,10', '3,70']"
3397,2025. június 30,TBD,KL,főtáblára jut,"KL-főtáblára jut
Nem jut főtáblára | 03
04 | 3,70
8,00","['3,70', '8,00']"
