home_team,away_team,home_score,away_score,date,league,season
Helsingborg,Umea Fc,5,1,,Unknown League,2025
.Columbus,Atlanta Utd. Mls,3,1,,Unknown League,2025
.Chicago,Philadelphia Mls,0,1,,Unknown League,2025
.Kansas City,Charlotte Mls,2,1,,Premier League,2025
.Vancouver,San Diego Mls,3,5,,Unknown League,2025
.Dortmund,Ulsan Klubcsapat Vb,1,0,,Bundesliga,2025
.Mamelodi Sundowns,Fluminense Rj Klubcsapat Vb,0,0,,Unknown League,2025
.Internazionale,River Plate Klubcsapat Vb,2,0,,Unknown League,2025
.Urawa Rd,Monterrey Klubcsapat Vb,0,4,,Unknown League,2025
